cidade,ano,mes,dia,data,volume,data_importacao
Goiânia,2024,1,1,2024-01-01,1.6,2024/11/29
Goiânia,2024,1,2,2024-01-02,33.4,2024/11/29
Goiânia,2024,1,3,2024-01-03,0.4,2024/11/29
Goiânia,2024,1,4,2024-01-04,12.6,2024/11/29
Goiânia,2024,1,5,2024-01-05,4.2,2024/11/29
Goiânia,2024,1,6,2024-01-06,0.0,2024/11/29
Goiânia,2024,1,7,2024-01-07,3.6,2024/11/29
Goiânia,2024,1,8,2024-01-08,18.2,2024/11/29
Goiânia,2024,1,9,2024-01-09,0.2,2024/11/29
Goiânia,2024,1,10,2024-01-10,8.6,2024/11/29
Goiânia,2024,1,11,2024-01-11,0.2,2024/11/29
Goiânia,2024,1,12,2024-01-12,0.0,2024/11/29
Goiânia,2024,1,13,2024-01-13,0.0,2024/11/29
Goiânia,2024,1,14,2024-01-14,0.8,2024/11/29
Goiânia,2024,1,15,2024-01-15,14.6,2024/11/29
Goiânia,2024,1,16,2024-01-16,3.2,2024/11/29
Goiânia,2024,1,17,2024-01-17,0.0,2024/11/29
Goiânia,2024,1,18,2024-01-18,8.799999999999999,2024/11/29
Goiânia,2024,1,19,2024-01-19,1.8,2024/11/29
Goiânia,2024,1,20,2024-01-20,0.4,2024/11/29
Goiânia,2024,1,21,2024-01-21,1.4,2024/11/29
Goiânia,2024,1,22,2024-01-22,2.4,2024/11/29
Goiânia,2024,1,23,2024-01-23,0.4,2024/11/29
Goiânia,2024,1,24,2024-01-24,6.4,2024/11/29
Goiânia,2024,1,25,2024-01-25,0.4,2024/11/29
Goiânia,2024,1,26,2024-01-26,0.0,2024/11/29
Goiânia,2024,1,27,2024-01-27,0.0,2024/11/29
Goiânia,2024,1,28,2024-01-28,0.0,2024/11/29
Goiânia,2024,1,29,2024-01-29,0.0,2024/11/29
Goiânia,2024,1,30,2024-01-30,0.0,2024/11/29
Goiânia,2024,1,31,2024-01-31,10.4,2024/11/29
Goiânia,2024,2,1,2024-02-01,24.4,2024/11/29
Goiânia,2024,2,2,2024-02-02,16.0,2024/11/29
Goiânia,2024,2,3,2024-02-03,0.8,2024/11/29
Goiânia,2024,2,4,2024-02-04,9.8,2024/11/29
Goiânia,2024,2,5,2024-02-05,19.4,2024/11/29
Goiânia,2024,2,6,2024-02-06,40.6,2024/11/29
Goiânia,2024,2,7,2024-02-07,9.2,2024/11/29
Goiânia,2024,2,8,2024-02-08,50.2,2024/11/29
Goiânia,2024,2,9,2024-02-09,14.8,2024/11/29
Goiânia,2024,2,10,2024-02-10,44.2,2024/11/29
Goiânia,2024,2,11,2024-02-11,2.6,2024/11/29
Goiânia,2024,2,12,2024-02-12,0.8,2024/11/29
Goiânia,2024,2,13,2024-02-13,0.0,2024/11/29
Goiânia,2024,2,14,2024-02-14,1.4,2024/11/29
Goiânia,2024,2,15,2024-02-15,5.4,2024/11/29
Goiânia,2024,2,16,2024-02-16,2.8,2024/11/29
Goiânia,2024,2,17,2024-02-17,2.2,2024/11/29
Goiânia,2024,2,18,2024-02-18,1.8,2024/11/29
Goiânia,2024,2,19,2024-02-19,5.6,2024/11/29
Goiânia,2024,2,20,2024-02-20,3.4,2024/11/29
Goiânia,2024,2,21,2024-02-21,9.4,2024/11/29
Goiânia,2024,2,22,2024-02-22,0.2,2024/11/29
Goiânia,2024,2,23,2024-02-23,7.6,2024/11/29
Goiânia,2024,2,24,2024-02-24,0.2,2024/11/29
Goiânia,2024,2,25,2024-02-25,6.800000000000001,2024/11/29
Goiânia,2024,2,26,2024-02-26,0.0,2024/11/29
Goiânia,2024,2,27,2024-02-27,0.0,2024/11/29
Goiânia,2024,2,28,2024-02-28,0.0,2024/11/29
Goiânia,2024,2,29,2024-02-29,0.0,2024/11/29
Goiânia,2024,3,1,2024-03-01,0.0,2024/11/29
Goiânia,2024,3,2,2024-03-02,0.8,2024/11/29
Goiânia,2024,3,3,2024-03-03,6.8,2024/11/29
Goiânia,2024,3,4,2024-03-04,0.2,2024/11/29
Goiânia,2024,3,5,2024-03-05,0.0,2024/11/29
Goiânia,2024,3,6,2024-03-06,6.2,2024/11/29
Goiânia,2024,3,7,2024-03-07,2.0,2024/11/29
Goiânia,2024,3,8,2024-03-08,0.0,2024/11/29
Goiânia,2024,3,9,2024-03-09,5.2,2024/11/29
Goiânia,2024,3,10,2024-03-10,59.6,2024/11/29
Goiânia,2024,3,11,2024-03-11,0.0,2024/11/29
Goiânia,2024,3,12,2024-03-12,6.6,2024/11/29
Goiânia,2024,3,13,2024-03-13,0.0,2024/11/29
Goiânia,2024,3,14,2024-03-14,12.6,2024/11/29
Goiânia,2024,3,15,2024-03-15,12.6,2024/11/29
Goiânia,2024,3,16,2024-03-16,0.0,2024/11/29
Goiânia,2024,3,17,2024-03-17,5.8,2024/11/29
Goiânia,2024,3,18,2024-03-18,0.6,2024/11/29
Goiânia,2024,3,19,2024-03-19,0.0,2024/11/29
Goiânia,2024,3,20,2024-03-20,28.4,2024/11/29
Goiânia,2024,3,21,2024-03-21,14.4,2024/11/29
Goiânia,2024,3,22,2024-03-22,0.2,2024/11/29
Goiânia,2024,3,23,2024-03-23,6.0,2024/11/29
Goiânia,2024,3,24,2024-03-24,0.0,2024/11/29
Goiânia,2024,3,25,2024-03-25,0.8,2024/11/29
Goiânia,2024,3,26,2024-03-26,13.999999999999998,2024/11/29
Goiânia,2024,3,27,2024-03-27,44.2,2024/11/29
Goiânia,2024,3,28,2024-03-28,1.6,2024/11/29
Goiânia,2024,3,29,2024-03-29,0.0,2024/11/29
Goiânia,2024,3,30,2024-03-30,19.0,2024/11/29
Goiânia,2024,3,31,2024-03-31,0.0,2024/11/29
Goiânia,2024,4,1,2024-04-01,0.0,2024/11/29
